,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
1207,nwisca.01.01707893,4070.0,477.0,292.0,1680.0,,National Water Quality Assessment Program (NAWQA),2017-05-14,13:00:00,-122.064407,37.68548644
1208,nwisca.01.01707899,6330.0,770.0,415.0,1470.0,,National Water Quality Assessment Program (NAWQA),2017-05-15,14:00:00,-122.129965,38.0032551
1209,nwisca.01.01707900,6040.0,586.0,284.0,1600.0,,National Water Quality Assessment Program (NAWQA),2017-05-16,14:00:00,-122.0999972,37.8823972
1210,nwisca.01.01707901,8610.0,399.0,275.0,1490.0,,National Water Quality Assessment Program (NAWQA),2017-05-13,14:00:00,-121.9946825,37.772983
1211,nwisca.01.01707902,5510.0,865.0,262.0,1690.0,,National Water Quality Assessment Program (NAWQA),2017-05-17,14:00:00,-121.9330129,37.3738296
1212,nwisca.01.01707903,2510.0,356.0,255.0,1390.0,,National Water Quality Assessment Program (NAWQA),2017-05-09,14:00:00,-121.4943832,37.07772286
1213,nwisca.01.01707908,4130.0,1450.0,531.0,1430.0,,National Water Quality Assessment Program (NAWQA),2017-05-10,14:45:00,-121.7683333,37.1483333
1214,nwisca.01.01707915,11800.0,631.0,434.0,1630.0,,National Water Quality Assessment Program (NAWQA),2017-05-13,15:00:00,-122.2905528,37.96884167
1215,nwisca.01.01707916,4620.0,838.0,302.0,1580.0,,National Water Quality Assessment Program (NAWQA),2017-05-14,15:00:00,-122.1931194,37.88655278
1216,nwisca.01.01707917,3410.0,567.0,349.0,1650.0,,National Water Quality Assessment Program (NAWQA),2017-05-12,15:00:00,-122.1661778,37.7266083
1217,nwisca.01.01707923,3290.0,484.0,290.0,1600.0,,National Water Quality Assessment Program (NAWQA),2017-05-14,16:00:00,-122.0805186,37.6799311
1218,nwisca.01.01707924,3970.0,1080.0,288.0,1420.0,,National Water Quality Assessment Program (NAWQA),2017-05-04,16:00:00,-121.88225,37.3039472
1219,nwisca.01.01707925,6860.0,1170.0,318.0,1630.0,,National Water Quality Assessment Program (NAWQA),2017-05-02,16:30:00,-122.1365917,37.4168
1220,nwisca.01.01707926,2870.0,370.0,453.0,1820.0,,National Water Quality Assessment Program (NAWQA),2017-05-03,16:30:00,-122.0162889,37.27225
