,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
9006,CALWR_WQX-BL13B683066,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007,CALWR_WQX-BL13B683152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.0,,,,,,,,,,,
9008,CALWR_WQX-BL13B683491,,,,,,,,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9009,CALWR_WQX-BL13B683493,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9010,CALWR_WQX-BL13B683495,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9011,CALWR_WQX-BL13B683497,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9012,CALWR_WQX-BL13B683836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,,,,,,,
9013,CALWR_WQX-BL13B683837,,,,,,,,,,,,2122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9014,CALWR_WQX-BL13B684023,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,21.0,,,,,,,
9015,CALWR_WQX-BL13B684032,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,22.0,,,,,,,
9016,CALWR_WQX-BL13B685369,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,
9017,CALWR_WQX-BL13B685373,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
9018,CALWR_WQX-BL13B685377,,,,,,,,,,,,93.0,,,,,,0.2,,,,,,,,,,,,,,,21.0,,,,,,,
9019,CALWR_WQX-BL13B685390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,
9020,CALWR_WQX-BL13B685391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
9021,CALWR_WQX-BL13B685392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
9022,CALWR_WQX-BL13B685445,,,,,,,,,0.9,84.0,,,,,,,,,,,,,,,,73.6,,,,,,,,,,,,,,
9023,CALWR_WQX-BL13B685450,,,,,,,,,0.1,16.0,,,,,,,16.0,,,,,,,,,3.7,,,82.0,,,,,,,,,,,
9024,CALWR_WQX-BL13B685455,,,,,,,,,0.1,16.0,,,,,,,14.0,,,,,,,,,3.4,,,64.0,,,,,,,,,,,
9025,CALWR_WQX-BL13B685470,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9026,CALWR_WQX-BL13B685487,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9027,CALWR_WQX-BL13B686610,,,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,
9028,CALWR_WQX-BL13B686611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860.0,,,,,,,,,,,
9029,CALWR_WQX-BL13B687067,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9030,CALWR_WQX-BL13B687069,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9031,CALWR_WQX-BL13B687359,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9032,CALWR_WQX-BL13B688202,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9033,CALWR_WQX-BL13B688204,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9034,CALWR_WQX-BL13B688206,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9035,CALWR_WQX-BL13B688208,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9036,CALWR_WQX-BL13B688910,,,,,,,,,,,,88.0,,,,,,0.6,,,,,,,,,,,,,,,21.0,,,,,,,
9037,CALWR_WQX-BL13B688921,,,,,,,,,,,,99.0,,,,,,0.2,,,,,,,,,,,,,,,22.0,,,,,,,
9038,CALWR_WQX-BL13B688973,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9039,CALWR_WQX-BL13B689697,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,632.0,,,,,,,
9040,CALWR_WQX-BL13B689701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,
9041,CALWR_WQX-BL13B689712,,,,,,,,,1.1,113.0,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,
9042,CALWR_WQX-BL13B690133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
9043,CALWR_WQX-BL13B690139,,,,,,,,,,,,91.0,,,,,,0.2,,,,,,,,,,,,,,,21.0,,,,,,,
9044,CALWR_WQX-BL13B690147,,,0.003,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9045,CALWR_WQX-BL13B690148,,,,,,,,,0.1,15.0,,,,,,,13.0,,,,,,,,,,,,58.0,,,,,,,,,,,
9046,CALWR_WQX-BL13B690150,,,0.003,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9047,CALWR_WQX-BL13B690153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
9048,CALWR_WQX-BL13B690159,,,,,,,,,,,,84.0,,,,,,1.1,,,,,,,,,,,,,,,23.0,,,,,,,
9049,CALWR_WQX-BL13B690166,,,0.003,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9050,CALWR_WQX-BL13B690167,,,,,,,,,0.1,16.0,,,,,,,13.0,,,,,,,,,,,,55.0,,,,,,,,,,,
9051,CALWR_WQX-BL13B690169,,,0.002,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9052,CALWR_WQX-BL13B690172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
9053,CALWR_WQX-BL13B690178,,,,,,,,,,,,93.0,,,,,,0.0,,,,,,,,,,,,,,,21.0,,,,,,,
9054,CALWR_WQX-BL13B690185,,,0.003,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9055,CALWR_WQX-BL13B690186,,,,,,,,,0.1,15.0,,,,,,,14.0,,,,,,,,,,,,61.0,,,,,,,,,,,
9056,CALWR_WQX-BL13B690188,,,0.003,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9057,CALWR_WQX-BL13B690211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
9058,CALWR_WQX-BL13B690217,,,,,,,,,,,,33.0,,,,,,1.2,,,,,,,,,,,,,,,41.0,,,,,,,
9059,CALWR_WQX-BL13B690224,,,0.003,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9060,CALWR_WQX-BL13B690225,,,,,,,,,0.2,32.0,,,,,,,19.0,,,,,,,,,,,,31.0,,,,,,,,,,,
9061,CALWR_WQX-BL13B690227,,,0.003,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9062,CALWR_WQX-BL13B690645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,
9063,CALWR_WQX-BL13B690936,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,
9064,CALWR_WQX-BL13B690944,,,,,,,,,,,,,,,,,295.0,,,,,,,,,,,,,,,,,,,,,,,
9065,CALWR_WQX-BL13B690945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440.0,,,,,,,,,,,
9066,CALWR_WQX-BL13B690951,,,,,,,,,,,,3554.0,,,,,,,,,,,,,,,,,,,,,503.0,,,,,,,
9067,CALWR_WQX-BL13B691354,,,,,,,,,,,,4278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9068,CALWR_WQX-BL13B691368,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9069,CALWR_WQX-BL13B691370,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9070,CALWR_WQX-BL13B691550,,,,,,,,,,,,54.0,,,,,,3.0,,,,,,,,,,,,,,,39.0,,,,,,,
9071,CALWR_WQX-BL13B691715,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,511.0,,,,,,,
9072,CALWR_WQX-BL13B691719,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,20.0,,,,,,,
9073,CALWR_WQX-BL13B691723,,,,,,,,,,,,98.0,,,,,,0.1,,,,,,,,,,,,,,,22.0,,,,,,,
9074,CALWR_WQX-BL13B691796,,,,,,,,,0.1,14.0,,,,,,,14.0,,,,,,,,,3.0,,,63.0,,,,,,,,,,,
9075,CALWR_WQX-BL13B691801,,,,,,,,,0.1,16.0,,,,,,,14.0,,,,,,,,,3.3,,,59.0,,,,,,,,,,,
9076,CALWR_WQX-BL13B691816,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9077,CALWR_WQX-BL13B691833,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9078,CALWR_WQX-BL13B691883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
9079,CALWR_WQX-BL13B691884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
9080,CALWR_WQX-BL13B691885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
9081,CALWR_WQX-BL13B692986,,,,,,,,,,,,86.0,,,,,,1.3,,,,,,,,,,,,,,,28.0,,,,,,,
9082,CALWR_WQX-BL13B693003,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9083,CALWR_WQX-BL13B693005,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9084,CALWR_WQX-BL13B693007,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9085,CALWR_WQX-BL13B693009,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9086,CALWR_WQX-BL13B694404,,,,,,,,,1.0,87.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,
9087,CALWR_WQX-BL13B694541,,,,,,,,,,,,96.0,,,,,,2.3,,,,,,,,,,,,,,,33.0,,,,,,,
9088,CALWR_WQX-BL13B694550,,,,,,,,,,,,98.0,,,,,,1.8,,,,,,,,,,,,,,,29.0,,,,,,,
9089,CALWR_WQX-BL13B695056,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
9090,CALWR_WQX-BL13B695060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
9091,CALWR_WQX-BL13B695071,,,,,,,,,1.1,109.0,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,
9092,CALWR_WQX-BL13B696011,,,,,,,,,,,,106.0,,,,,,1.8,,,,,,,,,,,,,,,28.0,,,,,,,
9093,CALWR_WQX-BL13B696015,,,,,,,,,,,,107.0,,,,,,2.3,,,,,,,,,,,,,,,37.0,,,,,,,
9094,CALWR_WQX-BL13B696019,,,,,,,,,,,,105.0,,,,,,1.5,,,,,,,,,,,,,,,31.0,,,,,,,
9095,CALWR_WQX-BL13B696027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
9096,CALWR_WQX-BL13B696028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
9097,CALWR_WQX-BL13B696029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
9098,CALWR_WQX-BL13B696065,,,,,,,,,0.1,17.0,,,,,,,14.0,,,,,,,,,,,,65.0,,,,,,,,,,,
9099,CALWR_WQX-BL13B696069,,,,,,,,,0.2,21.0,,,,,,,15.0,,,,,,,,,,,,68.0,,,,,,,,,,,
9100,CALWR_WQX-BL13B696073,,,,,,,,,0.2,19.0,,,,,,,14.0,,,,,,,,,,,,65.0,,,,,,,,,,,
9101,CALWR_WQX-BL13B696081,,,0.003,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9102,CALWR_WQX-BL13B696096,,,0.003,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9103,CALWR_WQX-BL13B696111,,,0.003,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9104,CALWR_WQX-BL13B696145,,,0.002,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9105,CALWR_WQX-BL13B696160,,,0.002,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9106,CALWR_WQX-BL13B696175,,,0.002,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9107,CALWR_WQX-BL13B696400,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9108,CALWR_WQX-BL13B696402,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9109,CALWR_WQX-BL13B696429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,
9110,CALWR_WQX-BL13B696430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
9111,CALWR_WQX-BL13B696467,,,,,,,,,,,,,,,,,244.0,,,,,,,,,,,,,,,,,,,,,,,
9112,CALWR_WQX-BL13B696468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,,,,,,,,,,,
9113,CALWR_WQX-BL13B696795,,,,,,,,,,,,106.0,,,,,,5.3,,,,,,,,,,,,,,,69.0,,,,,,,
9114,CALWR_WQX-BL13B696845,,,,,,,,,,,,105.0,,,,,,3.2,,,,,,,,,,,,,,,47.0,,,,,,,
9115,CALWR_WQX-BL13B697006,,,,,,,,,,,,4670.0,,,,,,,,,,,,,,,,,,,,,634.0,,,,,,,
9116,CALWR_WQX-BL13B697011,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,
9117,CALWR_WQX-BL13B697015,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,29.0,,,,,,,
9118,CALWR_WQX-BL13B697019,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,30.0,,,,,,,
9119,CALWR_WQX-BL13B697032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
9120,CALWR_WQX-BL13B697033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
9121,CALWR_WQX-BL13B697034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
9122,CALWR_WQX-BL13B697087,,,,,,,,,0.9,87.0,,,,,,,,,,,,,,,,78.8,,,,,,,,,,,,,,
9123,CALWR_WQX-BL13B697092,,,,,,,,,0.1,16.0,,,,,,,15.0,,,,,,,,,4.0,,,76.0,,,,,,,,,,,
9124,CALWR_WQX-BL13B697097,,,,,,,,,0.2,18.0,,,,,,,16.0,,,,,,,,,4.4,,,80.0,,,,,,,,,,,
9125,CALWR_WQX-BL13B697117,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9126,CALWR_WQX-BL13B697139,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9127,CALWR_WQX-BL13B697205,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9128,CALWR_WQX-BL13B697207,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9129,CALWR_WQX-BL13B697209,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9130,CALWR_WQX-BL13B697211,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9131,CALWR_WQX-BL13B697720,,,,,,,,,,,,,,,,,285.0,,,,,,,,,,,,,,,,,,,,,,,
9132,CALWR_WQX-BL13B697721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420.0,,,,,,,,,,,
9133,CALWR_WQX-BL13B697723,,,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,
9134,CALWR_WQX-BL13B697724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.0,,,,,,,,,,,
9135,CALWR_WQX-BL13B697736,,,,,,,,,,,,3626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9136,CALWR_WQX-BL13B697737,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9137,CALWR_WQX-BL13B697890,,,,,,,,,,,,3457.0,,,,,,,,,,,,,,,,,,,,,478.0,,,,,,,
9138,CALWR_WQX-BL13B697892,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9139,CALWR_WQX-BL13B697893,,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,CALWR_WQX-BL13B697994,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9141,CALWR_WQX-BL13B697996,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9142,CALWR_WQX-BL13B698179,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,86.0,,,,,,,
9143,CALWR_WQX-BL13B698465,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,53.0,,,,,,,
9144,CALWR_WQX-BL13B698982,,,,,,,,,,,,4771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9145,CALWR_WQX-BL13B698986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,
9146,CALWR_WQX-BL13B698997,,,,,,,,,1.2,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9147,CALWR_WQX-BL13B699016,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,32.0,,,,,,,
9148,CALWR_WQX-BL13B699020,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,46.0,,,,,,,
9149,CALWR_WQX-BL13B699024,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,47.0,,,,,,,
9150,CALWR_WQX-BL13B699032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
9151,CALWR_WQX-BL13B699033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
9152,CALWR_WQX-BL13B699034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
9153,CALWR_WQX-BL13B699070,,,,,,,,,0.2,18.0,,,,,,,15.0,,,,,,,,,,,,70.0,,,,,,,,,,,
9154,CALWR_WQX-BL13B699074,,,,,,,,,0.2,22.0,,,,,,,16.0,,,,,,,,,,,,75.0,,,,,,,,,,,
9155,CALWR_WQX-BL13B699078,,,,,,,,,0.2,22.0,,,,,,,16.0,,,,,,,,,,,,75.0,,,,,,,,,,,
9156,CALWR_WQX-BL13B699086,,,0.003,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9157,CALWR_WQX-BL13B699101,,,0.002,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9158,CALWR_WQX-BL13B699116,,,0.003,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9159,CALWR_WQX-BL13B699150,,,0.002,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160,CALWR_WQX-BL13B699165,,,0.002,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9161,CALWR_WQX-BL13B699180,,,0.002,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9162,CALWR_WQX-BL13B700049,,,0.002,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9163,CALWR_WQX-BL13B700069,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9164,CALWR_WQX-BL13B700071,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9165,CALWR_WQX-BL13B700073,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9166,CALWR_WQX-BL13B700075,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9167,CALWR_WQX-BL13B700236,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,44.0,,,,,,,
9168,CALWR_WQX-BL13B700246,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9169,CALWR_WQX-BL13B700247,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9170,CALWR_WQX-BL13B700267,,,,,,,,,,,,,,,,,312.0,,,,,,,,,99.0,,,,,,,,,,,,,,
9171,CALWR_WQX-BL13B700268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.0,,,,,,,,,,,
9172,CALWR_WQX-BL13B700269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,,,,,,,
9173,CALWR_WQX-BL13B700271,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9174,CALWR_WQX-BL13B700272,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9175,CALWR_WQX-BL13B700273,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9176,CALWR_WQX-BL13B700275,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
9177,CALWR_WQX-BL13B700320,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9178,CALWR_WQX-BL13B700321,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
9179,CALWR_WQX-BL13B700354,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9180,CALWR_WQX-BL13B700356,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9181,CALWR_WQX-BL14B700589,,,,,,,,,,,,5572.0,,,,,,,,,,,,,,,,,,,,,780.0,,,,,,,
9182,CALWR_WQX-BL14B700593,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,32.0,,,,,,,
9183,CALWR_WQX-BL14B700597,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,39.0,,,,,,,
9184,CALWR_WQX-BL14B700610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,
9185,CALWR_WQX-BL14B700611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
9186,CALWR_WQX-BL14B700612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
9187,CALWR_WQX-BL14B700665,,,,,,,,,1.4,133.0,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,
9188,CALWR_WQX-BL14B700670,,,,,,,,,0.1,18.0,,,,,,,18.0,,,,,,,,,4.4,,,88.0,,,,,,,,,,,
9189,CALWR_WQX-BL14B700675,,,,,,,,,0.2,21.0,,,,,,,19.0,,,,,,,,,4.7,,,89.0,,,,,,,,,,,
9190,CALWR_WQX-BL14B700695,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9191,CALWR_WQX-BL14B700717,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9192,CALWR_WQX-BL14B701259,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9193,CALWR_WQX-BL14B701261,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9194,CALWR_WQX-BL14B701263,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9195,CALWR_WQX-BL14B701265,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9196,CALWR_WQX-BL14B702037,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,
9197,CALWR_WQX-BL14B702038,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9198,CALWR_WQX-BL14B702039,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9199,CALWR_WQX-BL14B702058,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,
9200,CALWR_WQX-BL14B702110,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,59.0,,,,,,,
9201,CALWR_WQX-BL14B702114,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,55.0,,,,,,,
9202,CALWR_WQX-BL14B702118,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,60.0,,,,,,,
9203,CALWR_WQX-BL14B702126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
9204,CALWR_WQX-BL14B702127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
9205,CALWR_WQX-BL14B702128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
9206,CALWR_WQX-BL14B702168,,,,,,,,,0.2,27.0,,,,,,,20.0,,,,,,,,,,,,94.0,,,,,,,,,,,
9207,CALWR_WQX-BL14B702172,,,,,,,,,0.2,26.0,,,,,,,19.0,,,,,,,,,,,,88.0,,,,,,,,,,,
9208,CALWR_WQX-BL14B702176,,,,,,,,,0.3,27.0,,,,,,,19.0,,,,,,,,,,,,90.0,,,,,,,,,,,
9209,CALWR_WQX-BL14B702184,,,0.002,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9210,CALWR_WQX-BL14B702199,,,0.002,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,CALWR_WQX-BL14B702214,,,0.002,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9212,CALWR_WQX-BL14B702248,,,0.002,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9213,CALWR_WQX-BL14B702263,,,0.002,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9214,CALWR_WQX-BL14B702278,,,0.002,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9215,CALWR_WQX-BL14B702410,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,55.0,,,,,,,
9216,CALWR_WQX-BL14B703174,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
